Sat. Feb.  4, 2017             LANDSAT 4                 Time: 17:35
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L24978265            Path/Row: 121 / 034

L0R Reference Image: L41XXX1089028020100_HDF.170352303
Acquisition Date: Jan 28, 1989

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
121   034   05-02-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1210340006_01   37.185016  119.807828     1.962       7.270     4.521     6.453     5.633
1210340009_01   37.158753  119.775106     1.138      -6.657    -2.963    -6.098    -3.996
1210340010_01   37.673628  118.771091     0.753      -5.793    -1.576    -5.467    -2.481
1210340016_01   37.001970  119.532764     1.932       3.332    -0.917     3.437    -0.370
1210340021_01   37.708372  118.850189     1.316       9.368    -2.871     9.706    -1.338
1210340030_01   37.177283  118.002813     2.098      -6.479    -0.761    -6.271    -1.789
1210340034_01   37.612143  118.848821     1.644      -4.686    -5.666    -3.720    -6.342
1210340039_01   37.343979  119.852679     0.011      -6.268     0.780    -6.314    -0.236
1210340053_01   36.788510  118.142299    69.576       1.072     0.906     0.913     1.066
1210340056_01   37.658116  118.058221     3.639       3.089    -6.788     4.135    -6.207
1210340059_01   37.061512  119.629201     1.000       5.305    -2.182     5.588    -1.302
1210340067_01   37.328854  118.435201     2.331      -1.137     0.706    -1.235     0.514
1210340074_01   37.707769  117.907817     1.943      -6.359     8.258    -7.597     7.137
1210340076_01   37.596866  117.947588     3.264      -0.956    -1.067    -0.773    -1.206
1210340082_01   37.204436  118.247250     4.097       2.789    -6.935     3.865    -6.398
1210340085_01   36.882714  118.214394    53.431      10.416    -5.686    11.193    -3.939
1210340098_01   37.850400  118.809749     0.606       3.589     3.663     2.959     4.188
1210340100_01   37.636413  118.004531     2.562       9.123    -1.655     9.268    -0.179
1210340101_01   37.022749  119.281575     2.566       3.406     5.832     2.426     6.305
1210340104_01   37.676222  118.848709     1.985       3.647    -5.169     4.427    -4.520
1210340108_01   37.723441  118.099658     1.027       1.340     4.335     0.630     4.493
1210340114_01   37.026677  119.553142     1.000       0.263    -7.107     1.400    -6.975
1210340124_01   37.699079  118.804362     2.316       8.639    -1.451     8.760    -0.053
1210340127_01   37.279061  118.482304     1.440       1.450    -6.926     2.542    -6.604
1210340136_01   37.276154  118.601690    -0.028      -2.397     0.469    -2.441     0.079
1210340141_01   37.244885  118.490767     1.724     -10.657     1.232   -10.716    -0.491
1210340142_01   37.918208  118.277980     2.489       6.051    -8.219     7.285    -7.149
1210340153_01   37.273939  118.664238     2.335       2.902     7.196     1.711     7.568
1210340161_01   37.368627  118.581634     1.662      -0.803     1.868    -1.092     1.716
1210340163_01   37.841323  118.766571     1.475       0.688    -2.335     1.052    -2.195
1210340174_01   37.218481  118.685333     0.835      -5.205    -3.682    -4.548    -4.469
1210340190_01   36.756324  118.250375   118.193       2.356     0.103     2.309     0.480
1210340196_01   37.758042  118.157044     2.258      -7.077     3.930    -7.613     2.751
1210340198_01   37.430498  118.021101     5.373      -4.652    -0.018    -4.588    -0.761
1210340213_01   37.184939  117.959991     4.832      -2.143     3.971    -2.753     3.576
1210340220_01   37.234494  118.389108     3.801      -4.172     2.506    -4.520     1.805
1210340222_01   37.209733  118.729424     0.901       9.874     7.057     8.615     8.549
1210340227_01   37.174457  117.882134     6.258      -5.998     4.241    -6.600     3.225
1210340228_01   38.076825  118.920314     0.236      -0.400     2.002    -0.714     1.913
1210340238_01   37.594696  118.213978     4.907      -7.714     0.519    -7.696    -0.719
1210340243_01   37.274662  118.799593    -2.000       7.932    -0.852     7.967     0.430
1210340244_01   37.109816  119.075219    -0.015       4.784    -6.658     5.791    -5.805
1210340245_01   37.865494  118.277069     0.593      -3.803     5.156    -4.577     4.483
1210340247_01   37.044429  119.468069     4.215      -7.435     7.592    -8.558     6.300
1210340251_01   36.783286  119.530923     3.323      -7.498    -1.200    -7.209    -2.393
1210340252_01   37.312904  119.818335    12.857      -8.603     5.598    -9.391     4.146
1210340253_01   37.176370  118.680342     1.429       8.121     0.540     7.930     1.835
