Sat. Feb. 18, 2017             LANDSAT 5                 Time: 12:59
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L25610696            Path/Row: 121 / 034

L0R Reference Image: L51HAJ1085329020100_HDF.170491757
Acquisition Date: Nov 25, 1985

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
120   034   06-12-2000
121   034   05-02-2000
121   035   05-02-2000
122   034   05-28-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1200340004_01   37.179532  119.795302     2.081       7.809     0.917     7.542     2.149
1200340033_01   37.061655  119.628929     1.000       5.165     1.170     4.893     1.978
1200340062_01   37.344069  119.852642    -0.053      -6.310     5.193    -7.081     4.118
1200340068_01   36.996887  119.384786     4.992       2.716    -1.084     2.839    -0.639
1200340069_01   36.879489  119.268205     4.442      -4.076    -2.539    -3.632    -3.161
1200340074_01   37.044259  119.467845     4.046       1.248     0.212     1.181     0.406
1210340007_01   37.364701  119.845335     1.258      -4.940    -6.207    -3.913    -6.921
1210340009_01   37.158753  119.775106     1.138      -3.874     1.825    -4.139     1.180
1210340016_01   37.001970  119.532764     1.932       3.906    -0.252     3.878     0.373
1210340021_01   37.708372  118.850189     1.316       5.459    -5.200     6.218    -4.267
1210340030_01   37.177283  118.002813     2.098      -6.909     1.242    -7.000     0.129
1210340039_01   37.343979  119.852679     0.011      -0.818    -2.176    -0.485    -2.283
1210340056_01   37.658116  118.058221     3.639       3.549    -5.365     4.375    -4.730
1210340057_01   37.521465  118.069528     3.548      -5.607     5.516    -6.394     4.557
1210340059_01   37.061512  119.629201     1.000       4.316     0.026     4.237     0.712
1210340067_01   37.328854  118.435201     2.331       0.443    -0.449     0.517    -0.371
1210340069_01   37.732013  117.884281    -1.725      -4.143    -0.983    -3.909    -1.623
1210340074_01   37.707769  117.907817     1.943       0.909    -1.285     1.124    -1.120
1210340076_01   37.596866  117.947588     3.264      -1.444    -3.066    -0.917    -3.252
1210340082_01   37.204436  118.247250     4.097       3.358    -4.431     4.033    -3.838
