Sat. Jan. 21, 2017             LANDSAT 5                 Time: 15:43
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L24267245            Path/Row: 121 / 034

L0R Reference Image: L51HAJ1092317010100_HDF.170212110
Acquisition Date: Nov 12, 1992

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
121   034   05-02-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1210340006_01   37.185016  119.807828     1.962       3.709     2.536     3.259     3.098
1210340007_01   37.364701  119.845335     1.258       2.670    -3.119     3.135    -2.654
1210340009_01   37.158753  119.775106     1.138      -3.342     2.472    -3.694     1.907
1210340013_01   37.376478  119.872541     2.929      -4.285    -1.009    -4.070    -1.681
1210340015_01   36.712235  119.097049    32.553       4.650     2.381     4.209     3.096
1210340017_01   37.581076  118.055770     3.366      -5.238     0.086    -5.184    -0.747
1210340026_01   36.780154  118.297827    69.135       0.133    -1.004     0.291    -0.970
1210340030_01   37.177283  118.002813     2.098      -0.874     1.118    -1.042     0.964
1210340038_01   37.523852  118.214187     6.229      -5.464     1.520    -5.636     0.632
1210340039_01   37.343979  119.852679     0.011      -2.227     5.235    -3.033     4.814
1210340044_01   37.458678  118.133420     6.518       2.224     2.454     1.803     2.776
1210340048_01   36.879436  119.268216     4.256      -1.843    -3.376    -1.279    -3.628
1210340053_01   36.788510  118.142299    69.576      -2.775    -4.084    -2.085    -4.474
1210340055_01   38.021643  118.238419    -0.868      -4.359    -0.677    -4.196    -1.359
1210340056_01   37.658116  118.058221     3.639       3.604    -3.207     4.068    -2.594
1210340057_01   37.521465  118.069528     3.548      -3.218     4.576    -3.906     4.005
1210340058_01   37.052259  119.149213     1.671       1.744    -2.880     2.182    -2.564
1210340059_01   37.061512  119.629201     1.000       1.048    -0.660     1.141    -0.484
1210340067_01   37.328854  118.435201     2.331      -1.241    -1.271    -1.022    -1.452
1210340069_01   37.732013  117.884281    -1.725      -1.885    -1.412    -1.637    -1.693
1210340074_01   37.707769  117.907817     1.943      -0.855     1.833    -1.136     1.673
1210340076_01   37.596866  117.947588     3.264      -5.710    -1.982    -5.321    -2.864
1210340079_01   37.292430  118.236518     4.248       2.350     1.018     2.157     1.379
1210340082_01   37.204436  118.247250     4.097       2.238    -3.007     2.689    -2.611
1210340093_01   37.532259  118.101259     4.201       1.840     4.478     1.102     4.712
1210340097_01   37.088142  117.813623     3.742      -0.039     0.064    -0.050     0.057
1210340098_01   37.850400  118.809749     0.606       3.567    -1.245     3.720    -0.663
1210340100_01   37.636413  118.004531     2.562       4.768    -2.434     5.093    -1.646
1210340101_01   37.022749  119.281575     2.566       1.983    -0.863     2.096    -0.534
1210340103_01   37.698846  118.285774     3.528       0.064    -2.667     0.487    -2.622
1210340104_01   37.676222  118.848709     1.985       0.504    -2.069     0.826    -1.963
1210340107_01   36.847237  117.807025    28.061       1.659     2.892     1.174     3.119
1210340108_01   37.723441  118.099658     1.027      -0.079     1.056    -0.247     1.030
1210340114_01   37.026677  119.553142     1.000       3.448    -2.551     3.813    -1.967
1210340121_01   37.443776  118.342777     3.647       0.240    -0.598     0.332    -0.552
1210340126_01   37.189180  118.332172     3.984       0.611     1.537     0.358     1.615
1210340135_01   37.087109  119.645271     1.000       3.685    -4.857     4.415    -4.206
1210340136_01   37.276154  118.601690    -0.028      -4.123     3.999    -4.709     3.290
1210340142_01   37.918208  118.277980     2.489       3.345    -1.315     3.510    -0.767
1210340153_01   37.273939  118.664238     2.335      -2.541     2.118    -2.846     1.686
1210340161_01   37.368627  118.581634     1.662      -0.188     1.159    -0.371     1.115
1210340163_01   37.841323  118.766571     1.475       0.085     1.987    -0.232     1.975
1210340166_01   37.240475  118.187303     4.108       1.499     0.455     1.406     0.688
1210340190_01   36.756324  118.250375   118.193       2.788    -4.315     3.442    -3.812
1210340192_01   37.432795  118.067247     3.503      -0.753    -4.248    -0.066    -4.313
1210340193_01   37.562631  118.031733     2.314      -2.169     5.989    -3.096     5.567
1210340209_01   36.732412  119.118090    26.759       4.075    -0.196     4.055     0.460
1210340211_01   36.875351  119.587130     6.122      -7.050     4.077    -7.612     2.896
1210340213_01   37.184939  117.959991     4.832      -2.691     0.655    -2.761     0.218
1210340219_01   37.717757  118.128847     1.883      -1.415    -2.555    -0.991    -2.747
1210340220_01   37.234494  118.389108     3.801      -2.390    -2.359    -1.983    -2.710
1210340222_01   37.209733  118.729424     0.901       1.124     4.727     0.355     4.846
1210340224_01   37.778450  118.546384     4.199       3.946    -2.311     4.263    -1.655
1210340227_01   37.174457  117.882134     6.258       1.300     1.275     1.078     1.465
1210340228_01   38.076825  118.920314     0.236       2.633     3.698     2.013     4.069
1210340236_01   37.845959  118.096020     0.302       5.169    -2.729     5.535    -1.874
1210340243_01   37.274662  118.799593    -2.000       3.868    -0.207     3.852     0.412
1210340247_01   37.044429  119.468069     4.215      -1.048     0.452    -1.106     0.279
1210340251_01   36.783286  119.530923     3.323      -3.561     3.273    -4.039     2.661
1210340252_01   37.312904  119.818335    12.857      -4.094    -4.553    -3.316    -5.151
1210340253_01   37.176370  118.680342     1.429       1.726     0.423     1.636     0.693
1210340259_01   37.443714  118.587622    -0.848      -2.859     0.223    -2.858    -0.235
