Thu. Jan.  5, 2017             LANDSAT 5                 Time: 13:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L23561597            Path/Row: 121 / 034

L0R Reference Image: L51CLT1095357010100_HDF.170051754
Acquisition Date: Dec 23, 1995

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
121   034   05-02-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1210340007_01   37.364701  119.845335     1.258      -2.623     1.219    -2.786     0.779
1210340009_01   37.158753  119.775106     1.138      -1.803     6.053    -2.759     5.684
1210340010_01   37.673628  118.771091     0.753       0.436     4.072    -0.225     4.089
1210340013_01   37.376478  119.872541     2.929      -4.864    -0.117    -4.783    -0.902
1210340016_01   37.001970  119.532764     1.932       2.530    -1.046     2.667    -0.623
1210340018_01   36.846560  118.034143    25.297      -4.938     2.431    -5.267     1.599
1210340026_01   36.780154  118.297827    69.135       4.928    -0.659     4.969     0.148
1210340028_01   37.711753  118.162450     3.060       1.707     6.106     0.700     6.301
1210340030_01   37.177283  118.002813     2.098      -0.201    -3.249     0.327    -3.238
1210340031_01   37.055439  119.573333    -0.473       5.670    -2.119     5.940    -1.173
1210340039_01   37.343979  119.852679     0.011       2.336    -5.130     3.135    -4.687
1210340043_01   37.110143  119.132956    -0.922       0.256    -3.775     0.864    -3.684
1210340044_01   37.458678  118.133420     6.518       1.090     2.258     0.711     2.404
1210340045_01   37.858109  118.333550     0.059      -3.037     3.890    -3.624     3.352
1210340048_01   36.879436  119.268216     4.256       0.091     0.801    -0.040     0.806
1210340053_01   36.788510  118.142299    69.576       0.507    -5.051     1.319    -4.901
1210340058_01   37.052259  119.149213     1.671       1.286    -1.909     1.578    -1.676
1210340059_01   37.061512  119.629201     1.000       0.350     2.142    -0.001     2.171
1210340060_01   37.731639  118.442600     3.145      -1.463    -2.899    -0.977    -3.096
1210340061_01   37.818294  118.291252     4.522      -3.964     1.659    -4.179     1.000
1210340063_01   37.096433  118.784566     3.649       2.785    -2.007     3.073    -1.531
