Tue. Sep.  2, 2014             LANDSAT 4                 Time: 06:20
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L13360252            Path/Row: 121 / 034

L0R Reference Image: L41XXX1089028020100_HDF.142451111
Acquisition Date: Jan 28, 1989

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
120   034   2000-06-12
121   034   2000-05-02
121   035   2000-05-02
122   034   2001-05-28


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1200340003   37.323624  119.887005     1.850       2.117     2.752     1.649     3.058
1200340004   37.179532  119.795302     2.081       5.032    -2.803     5.418    -1.959
1200340008   37.364688  119.845346     1.260      -7.984    -7.530    -6.679    -8.719
1200340033   37.061655  119.628929     1.000       1.184    -1.059     1.338    -0.855
1200340056   37.026245  119.824685    37.801       3.498    -5.939     4.407    -5.301
1200340062   37.344069  119.852642    -0.053      -7.606     7.271    -8.675     5.959
1200340123   36.998641  119.533987     3.286      -2.981    -5.008    -2.140    -5.424
1200340249   37.078927  119.461175     1.882      -5.372     1.066    -5.475     0.189
1210340006   37.185016  119.807828     1.962       6.256     6.894     5.072     7.814
1210340009   37.158753  119.775106     1.138      -8.693    -0.716    -8.469    -2.105
1210340010   37.673628  118.771091     0.753      -1.684    -3.403    -1.117    -3.629
1210340016   37.001970  119.532764     1.932      -3.814     1.253    -3.967     0.623
1210340030   37.177283  118.002813     2.098      -5.105    -0.710    -4.924    -1.518
1210340034   37.612143  118.848821     1.644      -1.096    -6.864     0.016    -6.951
1210340039   37.343979  119.852679     0.011      -2.038     2.401    -2.397     2.043
1210340053   36.788510  118.142299    69.576       0.447     1.135     0.259     1.192
1210340059   37.061512  119.629201     1.000      -0.146     0.038    -0.150     0.014
1210340067   37.328854  118.435201     2.331      -0.391    -0.547    -0.298    -0.602
1210340074   37.707769  117.907817     1.943      -5.849     5.411    -6.638     4.408
1210340076   37.596866  117.947588     3.264       0.196    -3.622     0.774    -3.544
1210340085   36.882714  118.214394    53.431       9.103    -6.087     9.963    -4.545
