==============================================================================
==============================================================================
Tue. Sep. 2 2014                  LANDSAT 4                       Time: 11:23
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101409017506_00039                          Path / Row - 121 / 34
Reference Image: L41XXX1089028020100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 87.5%
Rank   2 -- 12.5%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1210340919   38.11239    118.27280    -0.06      0.49     0.49     1 
1210340921   38.11160    118.34328    -0.10     -0.07     0.12     1 
1210340989   38.08930    118.09622     0.19     -0.51     0.54     2 
1210340993   38.08790    118.23714     0.02      0.07     0.07     1 
1210340997   38.08633    118.37805    -0.01      0.51     0.51     2 
1210340998   38.08591    118.41328    -0.23     -0.19     0.29     1 
1210341006   38.08218    118.69505    -0.10     -0.54     0.55     2 
1210341061   38.06536    117.99019     0.48      0.07     0.48     1 
1210341064   38.06442    118.09585     0.06      0.09     0.11     1 
1210341085   38.05520    118.83530    -0.06      0.18     0.19     1 
1210341151   38.03486    118.51792     0.00      0.00     0.00     1 
1210341152   38.03440    118.55312     0.17      0.00     0.17     1 
1210341155   38.03296    118.65871    -0.12     -0.22     0.26     1 
1210341162   38.02922    118.90506    -0.29      0.11     0.31     1 
1210341163   38.02865    118.94025    -0.40      0.54     0.67     2 
1210341212   38.01532    118.02472    -0.14      0.44     0.46     1 
1210341223   38.01131    118.41184    -0.23      0.09     0.25     1 
1210341231   38.00759    118.69333     0.13      0.02     0.13     1 
1210341232   38.00708    118.72852    -0.31     -0.07     0.32     1 
1210341233   38.00655    118.76370    -0.49     -0.07     0.50     1 
1210341307   37.98221    118.72793     0.14      0.42     0.44     1 
1210341380   37.95836    118.65703    -0.45     -0.31     0.54     2 
1210341382   37.95735    118.72735    -0.01     -0.26     0.26     1 
1210341390   37.95288    119.00858    -0.20     -0.07     0.21     1 
1210341442   37.93904    118.19948    -0.27     -0.57     0.63     2 
1210341455   37.93350    118.65647    -0.14     -0.11     0.18     1 
1210341457   37.93248    118.72677    -0.15     -0.31     0.34     1 
1210341524   37.91141    118.44508    -0.21     -0.02     0.21     1 
1210341528   37.90960    118.58564    -0.49     -0.28     0.57     2 
1210341542   37.90194    119.07748    -0.17      0.13     0.21     1 
1210341589   37.89033    118.09327     0.49      0.37     0.61     2 
1210341616   37.87770    119.04167    -0.28      0.05     0.29     1 
1210341662   37.86609    118.02265     0.22     -0.08     0.23     1 
1210341665   37.86512    118.12802     0.39      0.02     0.39     1 
1210341677   37.86033    118.54946    -0.19     -0.23     0.30     1 
1210341678   37.85986    118.58457    -0.69      0.16     0.71     2 
1210341682   37.85789    118.72502     0.47     -0.21     0.51     2 
1210341684   37.85684    118.79524    -0.14     -0.04     0.14     1 
1210341737   37.84121    118.02231    -0.14     -0.12     0.18     1 
1210341740   37.84025    118.12764    -0.06     -0.13     0.15     1 
1210341753   37.83500    118.58404    -0.01      0.18     0.18     1 
1210341759   37.83198    118.79464    -0.10     -0.17     0.20     1 
1210341767   37.82736    119.07539    -0.24      0.23     0.33     1 
1210341810   37.81693    117.95176     0.10     -0.10     0.14     1 
1210341815   37.81538    118.12726    -0.15     -0.08     0.17     1 
1210341824   37.81193    118.44314    -0.18     -0.04     0.18     1 
1210341830   37.80917    118.65369    -0.31      0.21     0.37     1 
1210341833   37.80764    118.75895     0.13     -0.36     0.38     1 
1210341843   37.80188    119.10977    -0.74     -0.10     0.75     2 
1210341886   37.79177    117.98653     0.02     -0.25     0.25     1 
1210341887   37.79147    118.02162    -0.03     -0.12     0.12     1 
1210341898   37.78749    118.40757     0.03      0.70     0.70     2 
1210341907   37.78330    118.72329    -0.34     -0.10     0.35     1 
1210341970   37.76383    118.30188    -0.06     -0.08     0.10     1 
1210341987   37.75574    118.89802    -0.57      0.30     0.65     2 
1210341988   37.75517    118.93308    -0.10     -0.37     0.39     1 
