Wed. Jul. 30, 2014             LANDSAT 5                 Time: 17:57
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L12664862            Path/Row: 121 / 034

L0R Reference Image: L51HAJ1085329020100_HDF.142112240
Acquisition Date: Nov 25, 1985

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
120   034   2000-06-12
121   034   2000-05-02
121   035   2000-05-02
122   034   2001-05-28


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1200340003   37.323624  119.887005     1.850      -3.451     6.152    -4.387     5.525
1200340004   37.179532  119.795302     2.081       6.747    -0.354     6.719     0.729
1200340033   37.061655  119.628929     1.000       5.723     0.250     5.611     1.162
1200340062   37.344069  119.852642    -0.053      -8.646     4.311    -9.224     2.878
1200340068   36.996887  119.384786     4.992       3.911    -0.410     3.927     0.221
1200340069   36.879489  119.268205     4.442       2.695    -5.165     3.486    -4.668
1200340074   37.044259  119.467845     4.046      -0.959     2.905    -1.410     2.715
1200340123   36.998641  119.533987     3.286       5.817    -3.841     6.357    -2.863
1200340211   36.985490  119.621514     1.107       2.480     2.225     2.094     2.593
1200340220   36.842827  119.585769     2.000      -0.703     1.427    -0.922     1.296
1210340007   37.364701  119.845335     1.258      -5.666    -6.245    -4.602    -7.072
1210340009   37.158753  119.775106     1.138      -4.749     1.755    -4.969     0.974
1210340016   37.001970  119.532764     1.932       3.054    -0.277     3.060     0.214
1210340021   37.708372  118.850189     1.316       5.368    -5.117     6.112    -4.199
1210340030   37.177283  118.002813     2.098      -6.656     1.197    -6.760     0.122
1210340039   37.343979  119.852679     0.011      -1.544    -2.152    -1.182    -2.372
1210340056   37.658116  118.058221     3.639       3.862    -5.375     4.666    -4.693
1210340057   37.521465  118.069528     3.548      -4.988     5.489    -5.797     4.626
1210340059   37.061512  119.629201     1.000       3.484    -0.090     3.455     0.468
1210340067   37.328854  118.435201     2.331       0.273    -0.492     0.348    -0.442
1210340069   37.732013  117.884281    -1.725      -3.799    -0.858    -3.613    -1.449
