==============================================================================
==============================================================================
Wed. Jul. 30 2014                  LANDSAT 5                       Time: 23:08
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101407296728_00001                          Path / Row - 121 / 34
Reference Image: L51HAJ1085329020100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 91.6%
Rank   2 --  8.4%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1210340914   38.11728    118.05215     0.66      0.08     0.66     2 
1210341074   38.06386    118.40362     0.17      0.04     0.17     1 
1210341078   38.06209    118.54447    -0.25      0.14     0.29     1 
1210341083   38.05964    118.72052    -0.19      0.61     0.64     2 
1210341144   38.04096    118.22712    -0.25      0.10     0.27     1 
1210341213   38.01810    118.01553    -0.19      0.41     0.45     1 
1210341228   38.01236    118.54343     0.33      0.26     0.42     1 
1210341232   38.01042    118.68417    -0.07      0.11     0.13     1 
1210341233   38.00991    118.71935    -0.15     -0.11     0.18     1 
1210341234   38.00939    118.75454    -0.01     -0.03     0.03     1 
1210341306   37.98606    118.64843     0.00      0.18     0.18     1 
1210341307   37.98556    118.68360     0.07      0.01     0.07     1 
1210341309   37.98453    118.75395    -0.37      0.10     0.38     1 
1210341383   37.96019    118.71819     0.47     -0.18     0.50     1 
1210341439   37.94318    118.04966    -0.02      0.35     0.35     1 
1210341443   37.94184    118.19031     0.29      0.44     0.53     2 
1210341444   37.94148    118.22546     0.12     -0.05     0.13     1 
1210341456   37.93633    118.64732     0.69      0.10     0.70     2 
1210341532   37.91096    118.68190     0.60      0.11     0.61     2 
1210341540   37.90661    118.96297    -0.08      0.02     0.09     1 
1210341590   37.89312    118.08410     0.49      0.09     0.50     1 
1210341608   37.88559    118.71646    -0.22     -0.15     0.27     1 
1210341663   37.86887    118.01348     0.06      0.30     0.30     1 
1210341666   37.86792    118.11885     0.34     -0.23     0.41     1 
1210341685   37.85968    118.78611    -0.14     -0.16     0.21     1 
1210341738   37.84400    118.01314     0.04     -0.05     0.07     1 
1210341810   37.81998    117.90748     0.10     -0.32     0.34     1 
1210341811   37.81971    117.94259     0.06      0.09     0.11     1 
1210341812   37.81942    117.97769     0.13     -0.13     0.19     1 
1210341816   37.81817    118.11810     0.26     -0.05     0.27     1 
1210341834   37.81048    118.74982     0.22     -0.41     0.47     1 
1210341835   37.80995    118.78491     0.40      0.24     0.47     1 
1210341887   37.79455    117.97737    -0.06     -0.29     0.29     1 
1210341891   37.79330    118.11773    -0.01      0.26     0.26     1 
1210341908   37.78613    118.71416    -0.09      0.18     0.20     1 
1210341960   37.77024    117.90688     0.16     -0.25     0.30     1 
1210342064   37.73316    118.92332     0.09      0.08     0.13     1 
1210342137   37.70942    118.85260     0.03     -0.20     0.20     1 
1210342141   37.70713    118.99274     0.46     -0.18     0.50     1 
1210342142   37.70653    119.02778    -0.18     -0.06     0.19     1 
1210342185   37.69562    117.90597     0.07     -0.04     0.08     1 
1210342265   37.66927    118.08083     0.09     -0.01     0.09     1 
1210342363   37.63427    118.88575     0.19      0.20     0.27     1 
1210342576   37.56563    118.46419    -0.20     -0.03     0.20     1 
1210342662   37.53537    118.84828    -0.11      0.04     0.12     1 
1210342664   37.53425    118.91819    -0.01      0.24     0.24     1 
1210342715   37.52003    118.07867     0.12     -0.02     0.12     1 
1210342732   37.51311    118.67293     0.11      0.19     0.22     1 
1210342783   37.49714    117.83365    -0.03     -0.06     0.07     1 
1210342795   37.49343    118.25306    -0.24      0.04     0.24     1 
1210342799   37.49187    118.39284     0.02      0.31     0.31     1 
1210342803   37.49014    118.53262    -0.02      0.05     0.05     1 
1210342807   37.48824    118.67238     0.05      0.26     0.27     1 
1210342809   37.48723    118.74225     0.08      0.17     0.19     1 
1210342813   37.48508    118.88199    -0.13      0.05     0.14     1 
1210342879   37.46481    118.56704     0.09      0.16     0.19     1 
1210342880   37.46434    118.60197    -0.01      0.13     0.14     1 
