Sun. May. 11, 2014             LANDSAT 5                 Time: 08:07
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L11443143            Path/Row: 121 / 034

L0R Reference Image: L51HAJ1092317010100_HDF.141311143
Acquisition Date: Nov 12, 1992

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
121   034   2000-05-02


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1210340006   37.185016  119.807828     1.962       3.652     2.497     3.209     3.050
1210340007   37.364701  119.845335     1.258       2.701    -3.070     3.157    -2.600
1210340009   37.158753  119.775106     1.138      -3.161     2.627    -3.540     2.089
1210340013   37.376478  119.872541     2.929      -4.236    -0.879    -4.042    -1.545
1210340015   36.712235  119.097049    32.553       4.600     2.473     4.145     3.179
1210340017   37.581076  118.055770     3.366      -5.205     0.090    -5.152    -0.739
1210340026   36.780154  118.297827    69.135       0.318    -0.892     0.456    -0.830
1210340030   37.177283  118.002813     2.098      -0.756     0.890    -0.889     0.758
1210340034   37.612143  118.848821     1.644      -1.067    -1.548    -0.807    -1.698
1210340038   37.523852  118.214187     6.229      -5.468     1.505    -5.638     0.616
1210340039   37.343979  119.852679     0.011      -2.250     5.246    -3.058     4.821
1210340044   37.458678  118.133420     6.518       2.412     2.463     1.987     2.815
1210340048   36.879436  119.268216     4.256      -1.782    -3.285    -1.233    -3.529
1210340053   36.788510  118.142299    69.576      -2.794    -3.998    -2.118    -4.392
1210340055   38.021643  118.238419    -0.868      -4.466    -0.399    -4.346    -1.101
1210340056   37.658116  118.058221     3.639       3.647    -3.247     4.116    -2.625
1210340057   37.521465  118.069528     3.548      -3.138     4.657    -3.840     4.098
1210340058   37.052259  119.149213     1.671       1.771    -2.799     2.196    -2.480
1210340059   37.061512  119.629201     1.000       1.117    -0.590     1.197    -0.404
1210340067   37.328854  118.435201     2.331      -1.199    -1.245    -0.986    -1.420
1210340069   37.732013  117.884281    -1.725      -1.904    -1.479    -1.645    -1.763
1210340074   37.707769  117.907817     1.943      -0.893     2.044    -1.207     1.876
1210340076   37.596866  117.947588     3.264      -5.677    -1.987    -5.287    -2.864
1210340079   37.292430  118.236518     4.248       2.260     1.037     2.065     1.383
1210340082   37.204436  118.247250     4.097       2.213    -2.972     2.659    -2.580
1210340093   37.532259  118.101259     4.201       1.863     4.536     1.115     4.774
1210340097   37.088142  117.813623     3.742      -0.175    -0.004    -0.172    -0.032
1210340098   37.850400  118.809749     0.606       3.633    -1.135     3.767    -0.544
1210340100   37.636413  118.004531     2.562       4.737    -2.429     5.062    -1.645
1210340101   37.022749  119.281575     2.566       2.030    -0.752     2.125    -0.418
1210340103   37.698846  118.285774     3.528       0.030    -2.670     0.454    -2.631
1210340104   37.676222  118.848709     1.985       0.594    -2.013     0.907    -1.893
1210340107   36.847237  117.807025    28.061       1.850     2.917     1.358     3.174
1210340108   37.723441  118.099658     1.027       0.165     0.958     0.010     0.972
1210340114   37.026677  119.553142     1.000       3.526    -2.744     3.920    -2.145
1210340121   37.443776  118.342777     3.647       0.376    -0.541     0.457    -0.475
1210340126   37.189180  118.332172     3.984       0.601     1.531     0.348     1.607
1210340135   37.087109  119.645271     1.000       3.779    -4.789     4.497    -4.124
1210340136   37.276154  118.601690    -0.028      -4.145     4.064    -4.740     3.350
1210340142   37.918208  118.277980     2.489       3.433    -1.419     3.614    -0.857
1210340153   37.273939  118.664238     2.335      -2.465     2.178    -2.781     1.757
1210340161   37.368627  118.581634     1.662      -0.129     1.152    -0.312     1.116
1210340163   37.841323  118.766571     1.475       0.123     2.086    -0.210     2.079
1210340166   37.240475  118.187303     4.108       1.372     0.369     1.295     0.583
1210340190   36.756324  118.250375   118.193       2.711    -4.296     3.363    -3.806
1210340192   37.432795  118.067247     3.503      -0.852    -4.145    -0.180    -4.227
1210340193   37.562631  118.031733     2.314      -2.193     5.929    -3.110     5.504
1210340209   36.732412  119.118090    26.759       4.112    -0.067     4.071     0.593
1210340211   36.875351  119.587130     6.122      -6.872     4.120    -7.443     2.967
1210340213   37.184939  117.959991     4.832      -2.750     0.575    -2.807     0.129
1210340219   37.717757  118.128847     1.883      -1.390    -2.516    -0.972    -2.704
1210340220   37.234494  118.389108     3.801      -2.539    -2.377    -2.127    -2.751
1210340222   37.209733  118.729424     0.901       1.120     4.839     0.333     4.956
1210340224   37.778450  118.546384     4.199       3.926    -2.157     4.218    -1.506
1210340227   37.174457  117.882134     6.258       1.195     1.247     0.979     1.421
1210340228   38.076825  118.920314     0.236       2.735     3.925     2.078     4.309
1210340236   37.845959  118.096020     0.302       5.273    -2.832     5.655    -1.960
1210340243   37.274662  118.799593    -2.000       3.902    -0.108     3.869     0.516
1210340247   37.044429  119.468069     4.215      -1.112     0.404    -1.162     0.221
1210340251   36.783286  119.530923     3.323      -3.994     2.761    -4.384     2.086
1210340252   37.312904  119.818335    12.857      -4.016    -4.500    -3.248    -5.086
1210340253   37.176370  118.680342     1.429       1.720     0.538     1.612     0.806
1210340259   37.443714  118.587622    -0.848      -2.885     0.240    -2.887    -0.222
