==============================================================================
==============================================================================
Sun. May. 11 2014                  LANDSAT 5                       Time: 13:15
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101405103993_00002                          Path / Row - 121 / 34
Reference Image: L51HAJ1092317010100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1210340998   38.10467    118.33494    -0.01      0.09     0.09     1 
1210341007   38.10064    118.65203    -0.11      0.12     0.17     1 
1210341011   38.09857    118.79293    -0.17     -0.11     0.20     1 
1210341070   38.08068    118.22881     0.23      0.03     0.23     1 
1210341075   38.07871    118.40493    -0.41     -0.05     0.41     1 
1210341082   38.07550    118.65146    -0.22     -0.16     0.27     1 
1210341083   38.07500    118.68668    -0.37     -0.06     0.38     1 
1210341090   38.07121    118.93316    -0.04      0.14     0.15     1 
1210341156   38.05086    118.61569     0.08     -0.13     0.16     1 
1210341157   38.05037    118.65090    -0.10     -0.07     0.12     1 
1210341158   38.04987    118.68610    -0.08      0.13     0.16     1 
1210341162   38.04776    118.82691    -0.00      0.18     0.18     1 
1210341214   38.03242    118.01675     0.00      0.03     0.03     1 
1210341220   38.03040    118.22797     0.02      0.20     0.20     1 
1210341233   38.02473    118.68552    -0.32     -0.08     0.33     1 
1210341234   38.02422    118.72071    -0.02     -0.02     0.02     1 
1210341239   38.02152    118.89665    -0.07     -0.02     0.07     1 
1210341289   38.00728    118.01641     0.05      0.15     0.16     1 
1210341294   38.00563    118.19236     0.00     -0.14     0.14     1 
1210341303   38.00199    118.50904     0.12     -0.14     0.18     1 
1210341307   38.00010    118.64977    -0.06     -0.25     0.26     1 
1210341316   37.99523    118.96635    -0.19      0.16     0.24     1 
1210341376   37.97773    118.43818     0.01     -0.13     0.13     1 
1210341382   37.97496    118.64921    -0.15     -0.08     0.17     1 
1210341383   37.97446    118.68437     0.18      0.10     0.21     1 
1210341438   37.95729    117.98054    -0.02      0.33     0.33     1 
1210341444   37.95535    118.19155    -0.05     -0.05     0.07     1 
1210341457   37.94983    118.64864    -0.07     -0.03     0.08     1 
1210341459   37.94882    118.71895    -0.14     -0.01     0.14     1 
1210341462   37.94723    118.82441     0.16      0.18     0.24     1 
1210341463   37.94668    118.85957    -0.01     -0.11     0.11     1 
1210341467   37.94437    119.00016    -0.14      0.09     0.16     1 
1210341520   37.92984    118.22630    -0.05      0.01     0.05     1 
1210341532   37.92469    118.64808    -0.17     -0.09     0.19     1 
1210341543   37.91864    119.03461    -0.10     -0.18     0.21     1 
1210341589   37.90671    118.01502    -0.04     -0.09     0.10     1 
1210341591   37.90608    118.08531     0.18     -0.01     0.18     1 
1210341595   37.90470    118.22588     0.14      0.05     0.15     1 
1210341604   37.90098    118.54212     0.16     -0.09     0.18     1 
1210341608   37.89906    118.68265    -0.00     -0.05     0.05     1 
1210341616   37.89470    118.96367    -0.12      0.05     0.13     1 
1210341664   37.88157    118.01467     0.00      0.11     0.11     1 
1210341665   37.88126    118.04981     0.02     -0.27     0.27     1 
1210341670   37.87956    118.22546     0.13      0.02     0.13     1 
1210341679   37.87585    118.54160    -0.16     -0.20     0.26     1 
1210341680   37.87538    118.57672     0.04      0.25     0.25     1 
1210341682   37.87442    118.64696    -0.03      0.04     0.05     1 
1210341686   37.87237    118.78744    -0.03      0.05     0.06     1 
1210341692   37.86898    118.99812    -0.09      0.04     0.10     1 
1210341738   37.85672    117.97921    -0.12     -0.12     0.17     1 
1210341739   37.85643    118.01433     0.22     -0.11     0.24     1 
1210341741   37.85580    118.08457    -0.02     -0.07     0.07     1 
1210341742   37.85547    118.11969    -0.02      0.35     0.35     1 
1210341743   37.85513    118.15481     0.01     -0.07     0.07     1 
1210341755   37.85024    118.57618    -0.08     -0.15     0.17     1 
1210341761   37.84723    118.78683     0.01      0.13     0.13     1 
