Tue. Sep.  2, 2014             LANDSAT 5                 Time: 06:38
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L13360435            Path/Row: 121 / 034

L0R Reference Image: L51CLT1095357010100_HDF.142451129
Acquisition Date: Dec 23, 1995

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
121   034   2000-05-02


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1210340007   37.364701  119.845335     1.258      -2.580     1.220    -2.744     0.787
1210340009   37.158753  119.775106     1.138      -1.774     6.042    -2.729     5.678
1210340010   37.673628  118.771091     0.753       0.456     4.669    -0.302     4.682
1210340013   37.376478  119.872541     2.929      -4.828    -0.143    -4.743    -0.922
1210340016   37.001970  119.532764     1.932       2.391    -1.030     2.527    -0.629
1210340018   36.846560  118.034143    25.297      -4.842     2.318    -5.154     1.503
1210340026   36.780154  118.297827    69.135       4.907    -0.609     4.940     0.194
1210340028   37.711753  118.162450     3.060       1.791     6.012     0.798     6.221
1210340030   37.177283  118.002813     2.098      -0.298    -3.200     0.223    -3.206
1210340031   37.055439  119.573333    -0.473       5.732    -2.193     6.014    -1.236
1210340039   37.343979  119.852679     0.011       2.420    -5.154     3.222    -4.697
1210340043   37.110143  119.132956    -0.922       0.269    -3.767     0.875    -3.674
1210340044   37.458678  118.133420     6.518       1.084     2.279     0.702     2.424
1210340045   37.858109  118.333550     0.059      -3.057     3.915    -3.647     3.373
1210340048   36.879436  119.268216     4.256       0.159     0.825     0.023     0.840
1210340053   36.788510  118.142299    69.576       0.617    -4.931     1.409    -4.765
1210340058   37.052259  119.149213     1.671       1.249    -1.934     1.545    -1.707
1210340059   37.061512  119.629201     1.000       0.310     2.143    -0.040     2.166
1210340060   37.731639  118.442600     3.145      -1.394    -2.823    -0.921    -3.011
1210340061   37.818294  118.291252     4.522      -4.003     1.685    -4.222     1.020
1210340063   37.096433  118.784566     3.649       2.798    -1.989     3.083    -1.510
1210340065   36.987081  119.571364     4.000      -0.230     0.736    -0.346     0.690
