==============================================================================
==============================================================================
Tue. Sep. 2 2014                  LANDSAT 5                       Time: 11:43
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101409017506_00100                          Path / Row - 121 / 34
Reference Image: L51CLT1095357010100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1210340783   38.13452    118.87972    -0.27      0.31     0.41     1 
1210340839   38.11792    118.20959    -0.14      0.09     0.17     1 
1210340851   38.11281    118.63245    -0.24      0.12     0.27     1 
1210340858   38.10912    118.87907    -0.01     -0.05     0.05     1 
1210340861   38.10738    118.98475    -0.02     -0.11     0.11     1 
1210340915   38.09215    118.24440    -0.00      0.14     0.14     1 
1210340916   38.09177    118.27963     0.04      0.03     0.05     1 
1210340917   38.09138    118.31486     0.04      0.00     0.04     1 
1210340919   38.09057    118.38531     0.12     -0.15     0.19     1 
1210340926   38.08740    118.63189    -0.31      0.08     0.32     1 
1210340930   38.08536    118.77277    -0.11      0.15     0.19     1 
1210340992   38.06597    118.31440     0.04     -0.05     0.07     1 
1210340997   38.06387    118.49048     0.17      0.06     0.18     1 
1210341000   38.06248    118.59611     0.07      0.30     0.30     1 
1210341001   38.06200    118.63133     0.25     -0.13     0.28     1 
1210341007   38.05888    118.84257     0.12     -0.04     0.12     1 
1210341064   38.04169    118.20833    -0.21     -0.23     0.31     1 
1210341073   38.03801    118.52516     0.02     -0.13     0.13     1 
1210341074   38.03755    118.56036     0.22     -0.02     0.22     1 
1210341076   38.03659    118.63076    -0.10     -0.11     0.15     1 
1210341077   38.03610    118.66596     0.02     -0.05     0.05     1 
1210341084   38.03235    118.91232     0.02     -0.00     0.02     1 
1210341085   38.03177    118.94751     0.24      0.01     0.24     1 
1210341147   38.01305    118.48945     0.18     -0.15     0.23     1 
1210341155   38.00915    118.77093    -0.01     -0.00     0.01     1 
1210341160   38.00637    118.94683     0.07     -0.10     0.12     1 
1210341214   37.99087    118.20750    -0.05     -0.04     0.07     1 
1210341229   37.98427    118.73515     0.03     -0.02     0.03     1 
1210341289   37.96546    118.20708     0.21     -0.18     0.27     1 
1210341300   37.96086    118.59391    -0.12      0.04     0.12     1 
1210341302   37.95988    118.66424    -0.04     -0.12     0.13     1 
1210341312   37.95438    119.01579    -0.12      0.04     0.13     1 
1210341364   37.94005    118.20666    -0.08     -0.34     0.35     1 
1210341370   37.93770    118.41760     0.15     -0.23     0.28     1 
1210341371   37.93727    118.45276    -0.14     -0.09     0.17     1 
1210341377   37.93447    118.66366    -0.08     -0.13     0.15     1 
1210341378   37.93397    118.69881    -0.13     -0.14     0.19     1 
1210341382   37.93186    118.83939    -0.27      0.03     0.27     1 
1210341383   37.93130    118.87454    -0.03     -0.02     0.03     1 
1210341385   37.93016    118.94482    -0.16     -0.24     0.28     1 
1210341386   37.92958    118.97996    -0.15     -0.15     0.21     1 
1210341387   37.92898    119.01510    -0.10     -0.09     0.13     1 
1210341440   37.91427    118.24139    -0.05     -0.06     0.08     1 
1210341441   37.91390    118.27654     0.10     -0.02     0.10     1 
1210341450   37.91004    118.59282    -0.21     -0.02     0.21     1 
1210341452   37.90907    118.66309     0.02      0.01     0.02     1 
1210341457   37.90646    118.83876    -0.35     -0.17     0.39     1 
1210341458   37.90590    118.87389    -0.14      0.00     0.14     1 
1210341459   37.90534    118.90902    -0.28     -0.08     0.29     1 
1210341460   37.90476    118.94415    -0.02      0.10     0.10     1 
1210341461   37.90418    118.97928    -0.08     -0.05     0.09     1 
1210341462   37.90358    119.01441     0.02      0.02     0.02     1 
1210341463   37.90297    119.04954    -0.08     -0.10     0.13     1 
1210341515   37.88886    118.24097    -0.31     -0.29     0.42     1 
1210341523   37.88556    118.52201    -0.22     -0.17     0.28     1 
1210341524   37.88510    118.55714    -0.02     -0.02     0.03     1 
