X,Y,fid,cng_(Meters)
667033.797657946008258,4183340.667574483901262,0,0
667063.323898087837733,4183345.978049329482019,0,30
667092.850138229667209,4183351.288524175062776,0,60
667122.376378371496685,4183356.598999020643532,0,90
667151.902618513326161,4183361.90947386668995,0,120
667181.428858655272052,4183367.219948712270707,0,150
667210.955098797101527,4183372.530423557851464,0,180
667240.481338938931003,4183377.84089840343222,0,210
667270.007579080760479,4183383.151373249012977,0,240
667299.533819222589955,4183388.461848094593734,0,270
667329.06005936441943,4183393.772322940640152,0,300
667358.586299506248906,4183399.082797786220908,0,330
667388.112539648078382,4183404.393272631801665,0,360
667417.638779789907858,4183409.703747477382421,0,390
667447.165019931737334,4183415.014222322963178,0,420
667476.691260073683225,4183420.324697168543935,0,450
667506.2175002155127,4183425.635172014124691,0,480
667535.743740357342176,4183430.945646860171109,0,510
667565.269980499171652,4183436.256121705751866,0,540
667594.796220641001128,4183441.566596551332623,0,570
667624.322460782830603,4183446.877071396913379,0,600
667653.848700924660079,4183452.187546242494136,0,630
667683.374941066489555,4183457.498021088074893,0,660
667712.901181208319031,4183462.808495934121311,0,690
667742.427421350148506,4183468.118970779702067,0,720
667771.953661492094398,4183473.429445625282824,0,750
667801.479901633923873,4183478.739920470863581,0,780
667831.006141775753349,4183484.050395316444337,0,810
667860.532381917582825,4183489.360870162025094,0,840
667890.058622059412301,4183494.671345008071512,0,870
667919.584862201241776,4183499.981819853652269,0,900
667949.111102343071252,4183505.292294699233025,0,930
667978.637342484900728,4183510.602769544813782,0,960
668008.163582626730204,4183515.913244390394539,0,990
668037.689822768559679,4183521.223719235975295,0,1020
668067.21606291050557,4183526.534194081556052,0,1050
668096.742303052335046,4183531.84466892760247,0,1080
668126.268543194164522,4183537.155143773183227,0,1110
668155.794783335993998,4183542.465618618763983,0,1140
668185.321023477823474,4183547.77609346434474,0,1170
668214.847263619652949,4183553.086568309925497,0,1200
668244.373503761482425,4183558.397043155506253,0,1230
668273.899743903311901,4183563.707518001552671,0,1260
668303.425984045141377,4183569.017992847133428,0,1290
668332.952224186970852,4183574.328467692714185,0,1320
668362.478464328916743,4183579.638942538294941,0,1350
668392.004704470746219,4183584.949417383875698,0,1380
668421.530944612575695,4183590.259892229456455,0,1410
668451.057184754405171,4183595.570367075037211,0,1440
668480.583424896234646,4183600.880841921083629,0,1470
668510.109665038064122,4183606.191316766664386,0,1500
668539.635905179893598,4183611.501791612245142,0,1530
668569.162145321723074,4183616.812266457825899,0,1560
668598.688385463552549,4183622.122741303406656,0,1590
668628.214625605382025,4183627.433216148987412,0,1620
668657.740865747327916,4183632.74369099503383,0,1650
668687.267105889157392,4183638.054165840614587,0,1680
668716.793346030986868,4183643.364640686195344,0,1710
668746.319586172816344,4183648.6751155317761,0,1740
668775.845826314645819,4183653.985590377356857,0,1770
668805.372066456475295,4183659.296065222937614,0,1800
668834.898306598304771,4183664.606540068984032,0,1830
668864.424546740134247,4183669.917014914564788,0,1860
668893.950786881963722,4183675.227489760145545,0,1890
668923.477027023909613,4183680.537964605726302,0,1920
668953.003267165739089,4183685.848439451307058,0,1950
668982.529507307568565,4183691.158914296887815,0,1980
669012.055747449398041,4183696.469389142468572,0,2010
669041.581987591227517,4183701.77986398851499,0,2040
669071.108227733056992,4183707.090338834095746,0,2070
669100.634467874886468,4183712.400813679676503,0,2100
669130.160708016715944,4183717.71128852525726,0,2130
669159.68694815854542,4183723.021763370838016,0,2160
669189.213188300374895,4183728.332238216418773,0,2190
669218.739428442320786,4183733.642713062465191,0,2220
669248.265668584150262,4183738.953187908045948,0,2250
669277.791908725979738,4183744.263662753626704,0,2280
669307.318148867809214,4183749.574137599207461,0,2310
669336.844389009638689,4183754.884612444788218,0,2340
669366.370629151468165,4183760.195087290368974,0,2370
669395.896869293297641,4183765.505562135949731,0,2400
669425.423109435127117,4183770.816036981996149,0,2430
669454.949349576956593,4183776.126511827576905,0,2460
669484.475589718786068,4183781.436986673157662,0,2490
669514.001829860731959,4183786.747461518738419,0,2520
669543.528070002561435,4183792.057936364319175,0,2550
669573.128731038537808,4183796.886244575027376,0,2580
669602.882067037629895,4183800.725384703837335,0,2610
669632.635403036605567,4183804.564524833112955,0,2640
669662.388739035581239,4183808.403664961922914,0,2670
669692.142075034673326,4183812.242805090732872,0,2700
669721.895411033648998,4183816.081945219542831,0,2730
669751.648747032624669,4183819.92108534835279,0,2760
669781.402083031716757,4183823.76022547762841,0,2790
669811.155419030692428,4183827.599365606438369,0,2820
669840.908755029784516,4183831.438505735248327,0,2850
669870.662091028760187,4183835.277645864058286,0,2880
669900.415427027735859,4183839.116785992868245,0,2910
669930.168763026827946,4183842.955926122143865,0,2940
669959.922099025803618,4183846.795066250953823,0,2970
669989.675435024895705,4183850.634206379763782,0,3000
670019.428771023871377,4183854.473346508573741,0,3030
670049.182107022847049,4183858.312486637849361,0,3060
670078.935443021939136,4183862.151626766659319,0,3090
670108.688779020914808,4183865.990766895469278,0,3120
670138.44211501989048,4183869.829907024279237,0,3150
670168.195451018982567,4183873.669047153089195,0,3180
670197.948787017958239,4183877.508187282364815,0,3210
670227.702123017050326,4183881.347327411174774,0,3240
670257.455459016025998,4183885.186467539984733,0,3270
670287.20879501500167,4183889.025607668794692,0,3300
670316.962131014093757,4183892.86474779760465,0,3330
670346.715467013069429,4183896.70388792688027,0,3360
670376.468803012161516,4183900.543028055690229,0,3390
670406.222139011137187,4183904.382168184500188,0,3420
670435.975475010112859,4183908.221308313310146,0,3450
670465.728811009204946,4183912.060448442120105,0,3480
670495.482147008180618,4183915.899588571395725,0,3510
670525.23548300715629,4183919.738728700205684,0,3540
670554.988819006248377,4183923.577868829015642,0,3570
670584.742155005224049,4183927.417008957825601,0,3600
670614.495491004316136,4183931.256149087101221,0,3630
670644.248827003291808,4183935.09528921591118,0,3660
670674.00216300226748,4183938.934429344721138,0,3690
670703.755499001359567,4183942.773569473531097,0,3720
670733.508835000335239,4183946.612709602341056,0,3750
670763.262170999427326,4183950.451849731616676,0,3780
670793.015506998402998,4183954.290989860426635,0,3810
670822.76884299737867,4183958.130129989236593,0,3840
670852.522178996470757,4183961.969270118046552,0,3870
670882.275514995446429,4183965.808410246856511,0,3900
670912.0288509944221,4183969.647550376132131,0,3930
670941.782186993514188,4183973.486690504942089,0,3960
670971.535522992489859,4183977.325830633752048,0,3990
671001.288858991581947,4183981.164970762562007,0,4020
671031.042194990557618,4183985.004110891371965,0,4050
671060.79553098953329,4183988.843251020647585,0,4080
671090.548866988625377,4183992.682391149457544,0,4110
671120.302202987601049,4183996.521531278267503,0,4140
671150.055538986693136,4184000.360671407077461,0,4170
671179.808874985668808,4184004.19981153588742,0,4200
671209.56221098464448,4184008.03895166516304,0,4230
671239.315546983736567,4184011.878091793972999,0,4260
671269.068882982712239,4184015.717231922782958,0,4290
671298.822218981687911,4184019.556372051592916,0,4320
671328.575554980779998,4184023.395512180868536,0,4350
671358.32889097975567,4184027.234652309678495,0,4380
671388.082226978847757,4184031.073792438488454,0,4410
671417.835562977823429,4184034.912932567298412,0,4440
671447.588898976799101,4184038.752072696108371,0,4470
671477.342234975891188,4184042.591212825383991,0,4500
671507.09557097486686,4184046.43035295419395,0,4530
671536.848906973958947,4184050.269493083003908,0,4560
671566.602242972934619,4184054.108633211813867,0,4590
671596.35557897191029,4184057.947773340623826,0,4620
671626.108914971002378,4184061.786913469899446,0,4650
671655.862250969978049,4184065.626053598709404,0,4680
671685.615586969070137,4184069.465193727519363,0,4710
671715.368922968045808,4184073.304333856329322,0,4740
671745.12225896702148,4184077.143473985139281,0,4770
671774.875594966113567,4184080.982614114414901,0,4800
671804.628930965089239,4184084.821754243224859,0,4830
671834.382266964064911,4184088.660894372034818,0,4860
671864.135602963156998,4184092.500034500844777,0,4890
671893.88893896213267,4184096.339174630120397,0,4920
671923.642274961224757,4184100.178314758930355,0,4950
671953.395610960200429,4184104.017454887740314,0,4980
671983.148946959176101,4184107.856595016550273,0,5010
672012.902282958268188,4184111.695735145360231,0,5040
672042.65561895724386,4184115.534875274635851,0,5070
672072.408954956335947,4184119.37401540344581,0,5100
672102.162290955311619,4184123.213155532255769,0,5130
672131.915626954287291,4184127.052295661065727,0,5160
672161.668962953379378,4184130.891435789875686,0,5190
672191.42229895235505,4184134.730575919151306,0,5220
672221.175634951330721,4184138.569716047961265,0,5250
672250.928970950422809,4184142.408856176771224,0,5280
672280.68230694939848,4184146.247996305581182,0,5310
672310.435642948490568,4184150.087136434391141,0,5340
672340.188978947466239,4184153.926276563666761,0,5370
672369.942314946441911,4184157.76541669247672,0,5400
672399.695650945533998,4184161.604556821286678,0,5430
672429.44898694450967,4184165.443696950096637,0,5460
672459.202322943601757,4184169.282837078906596,0,5490
672488.955658942577429,4184173.121977208182216,0,5520
672518.708994941553101,4184176.961117336992174,0,5550
672548.462330940645188,4184180.800257465802133,0,5580
672578.21566693962086,4184184.639397594612092,0,5610
672607.969002938596532,4184188.478537723887712,0,5640
672637.722338937688619,4184192.31767785269767,0,5670
672667.475674936664291,4184196.156817981507629,0,5700
672697.229010935756378,4184199.995958110317588,0,5730
672726.98234693473205,4184203.835098239127547,0,5760
672756.735682933707722,4184207.674238368403167,0,5790
672786.489018932799809,4184211.513378497213125,0,5820
672816.242354931775481,4184215.352518626023084,0,5850
672845.995690930867568,4184219.191658754833043,0,5880
672875.749026929843239,4184223.030798883643001,0,5910
672905.502362928818911,4184226.869939012918621,0,5940
672935.255698927910998,4184230.70907914172858,0,5970
