X, Y
633527.000000,4215957.000000
633557.000000,4215957.000000
633587.000000,4215957.000000
633617.000000,4215957.000000
633647.000000,4215927.000000
633677.000000,4215927.000000
633677.000000,4215897.000000
633707.000000,4215897.000000
633737.000000,4215867.000000
633767.000000,4215867.000000
633797.000000,4215867.000000
633827.000000,4215867.000000
633857.000000,4215837.000000
633887.000000,4215837.000000
633887.000000,4215807.000000
633917.000000,4215807.000000
633917.000000,4215777.000000
633947.000000,4215777.000000
633947.000000,4215747.000000
633977.000000,4215747.000000
633977.000000,4215717.000000
634007.000000,4215717.000000
634007.000000,4215687.000000
634037.000000,4215687.000000
634037.000000,4215657.000000
634067.000000,4215657.000000
634067.000000,4215627.000000
634097.000000,4215627.000000
634127.000000,4215597.000000
634157.000000,4215597.000000
634187.000000,4215597.000000
634217.000000,4215597.000000
634247.000000,4215597.000000
634277.000000,4215597.000000
634307.000000,4215597.000000
634337.000000,4215597.000000
634367.000000,4215597.000000
634397.000000,4215597.000000
634427.000000,4215597.000000
634457.000000,4215597.000000
634487.000000,4215597.000000
634517.000000,4215597.000000
634547.000000,4215597.000000
634577.000000,4215597.000000
634607.000000,4215597.000000
634637.000000,4215597.000000
634667.000000,4215597.000000
634697.000000,4215597.000000
634727.000000,4215597.000000
634757.000000,4215597.000000
634787.000000,4215597.000000
634817.000000,4215597.000000
634847.000000,4215597.000000
634877.000000,4215597.000000
634907.000000,4215597.000000
634937.000000,4215597.000000
634967.000000,4215597.000000
634997.000000,4215597.000000
635027.000000,4215597.000000
635057.000000,4215597.000000
635087.000000,4215597.000000
635117.000000,4215597.000000
635147.000000,4215597.000000
635177.000000,4215597.000000
635207.000000,4215597.000000
635237.000000,4215597.000000
635267.000000,4215597.000000
635297.000000,4215597.000000
635327.000000,4215597.000000
635357.000000,4215627.000000
635387.000000,4215627.000000
635417.000000,4215657.000000
635447.000000,4215687.000000
635477.000000,4215717.000000
635507.000000,4215747.000000
635537.000000,4215777.000000
635567.000000,4215807.000000
635597.000000,4215837.000000
635627.000000,4215867.000000
635657.000000,4215897.000000
635687.000000,4215927.000000
635717.000000,4215957.000000
635747.000000,4215987.000000
635777.000000,4216017.000000
635807.000000,4216047.000000
635837.000000,4216077.000000
635867.000000,4216107.000000
635897.000000,4216137.000000
635927.000000,4216167.000000
635957.000000,4216167.000000
635987.000000,4216167.000000
636017.000000,4216167.000000
636047.000000,4216167.000000
636077.000000,4216197.000000
636107.000000,4216197.000000
636137.000000,4216227.000000
636167.000000,4216257.000000
636197.000000,4216287.000000
636227.000000,4216317.000000
636257.000000,4216347.000000
636287.000000,4216377.000000
636317.000000,4216407.000000
636347.000000,4216407.000000
636377.000000,4216407.000000
636407.000000,4216407.000000
636437.000000,4216407.000000
636467.000000,4216407.000000
636497.000000,4216407.000000
636527.000000,4216407.000000
636557.000000,4216437.000000
636587.000000,4216437.000000
636617.000000,4216467.000000
636647.000000,4216497.000000
636677.000000,4216527.000000
636707.000000,4216557.000000
636737.000000,4216587.000000
636767.000000,4216617.000000
636797.000000,4216647.000000
636827.000000,4216677.000000
636857.000000,4216707.000000
636887.000000,4216737.000000
636917.000000,4216767.000000
636947.000000,4216797.000000
636977.000000,4216827.000000
637007.000000,4216857.000000
637037.000000,4216887.000000
637067.000000,4216917.000000
637097.000000,4216947.000000
637127.000000,4216977.000000
637157.000000,4217007.000000
637187.000000,4217037.000000
637217.000000,4217067.000000
637247.000000,4217097.000000
637277.000000,4217127.000000
637307.000000,4217157.000000
637337.000000,4217187.000000
637367.000000,4217217.000000
637397.000000,4217247.000000
637427.000000,4217277.000000
637457.000000,4217307.000000
637487.000000,4217337.000000
637517.000000,4217367.000000
637547.000000,4217397.000000
637577.000000,4217427.000000
637607.000000,4217457.000000
637637.000000,4217487.000000
637667.000000,4217517.000000
637697.000000,4217547.000000
637727.000000,4217577.000000
637757.000000,4217607.000000
637757.000000,4217637.000000
637787.000000,4217667.000000
637787.000000,4217697.000000
637787.000000,4217727.000000
637787.000000,4217757.000000
637787.000000,4217787.000000
637787.000000,4217817.000000
637787.000000,4217847.000000
637787.000000,4217877.000000
637787.000000,4217907.000000
637787.000000,4217937.000000
637787.000000,4217967.000000
637817.000000,4217997.000000
637847.000000,4218027.000000
637877.000000,4218057.000000
637907.000000,4218087.000000
637907.000000,4218117.000000
637937.000000,4218147.000000
637967.000000,4218177.000000
637997.000000,4218207.000000
638027.000000,4218237.000000
638057.000000,4218267.000000
638087.000000,4218297.000000
638117.000000,4218327.000000
638147.000000,4218357.000000
638177.000000,4218387.000000
638207.000000,4218417.000000
638237.000000,4218447.000000
638267.000000,4218477.000000
638297.000000,4218507.000000
638327.000000,4218537.000000
638357.000000,4218567.000000
638387.000000,4218597.000000
638417.000000,4218627.000000
638447.000000,4218657.000000
638477.000000,4218687.000000
638507.000000,4218717.000000
638537.000000,4218747.000000
638567.000000,4218777.000000
638597.000000,4218807.000000
638627.000000,4218837.000000
638657.000000,4218867.000000
638687.000000,4218897.000000
638717.000000,4218927.000000
638747.000000,4218957.000000
638777.000000,4218987.000000
638807.000000,4219017.000000
638807.000000,4219047.000000
638837.000000,4219077.000000
638837.000000,4219107.000000
638837.000000,4219137.000000
638837.000000,4219167.000000
638837.000000,4219197.000000
638837.000000,4219227.000000
638837.000000,4219257.000000
638837.000000,4219287.000000
638837.000000,4219317.000000
638837.000000,4219347.000000
638837.000000,4219377.000000
638837.000000,4219407.000000
638837.000000,4219437.000000
638837.000000,4219467.000000
638837.000000,4219497.000000
638837.000000,4219527.000000
638837.000000,4219557.000000
638837.000000,4219587.000000
638837.000000,4219617.000000
638837.000000,4219647.000000
638837.000000,4219677.000000
638837.000000,4219707.000000
638837.000000,4219737.000000
638837.000000,4219767.000000
638837.000000,4219797.000000
638837.000000,4219827.000000
638837.000000,4219857.000000
638837.000000,4219887.000000
638837.000000,4219917.000000
638837.000000,4219947.000000
638837.000000,4219977.000000
638837.000000,4220007.000000
638837.000000,4220037.000000
638837.000000,4220067.000000
638837.000000,4220097.000000
638837.000000,4220127.000000
638837.000000,4220157.000000
638837.000000,4220187.000000
638837.000000,4220217.000000
638867.000000,4220247.000000
638897.000000,4220277.000000
638897.000000,4220307.000000
638927.000000,4220337.000000
638927.000000,4220367.000000
638927.000000,4220397.000000
638927.000000,4220427.000000
638927.000000,4220457.000000
638927.000000,4220487.000000
638927.000000,4220517.000000
638927.000000,4220547.000000
638927.000000,4220577.000000
638927.000000,4220607.000000
638927.000000,4220637.000000
638927.000000,4220667.000000
638927.000000,4220697.000000
638927.000000,4220727.000000
638927.000000,4220757.000000
638927.000000,4220787.000000
638927.000000,4220817.000000
638927.000000,4220847.000000
638927.000000,4220877.000000
638927.000000,4220907.000000
638927.000000,4220937.000000
638957.000000,4220967.000000
638957.000000,4220997.000000
638957.000000,4221027.000000
638987.000000,4221057.000000
638987.000000,4221087.000000
639017.000000,4221117.000000
639017.000000,4221147.000000
639017.000000,4221177.000000
639017.000000,4221207.000000
639017.000000,4221237.000000
639017.000000,4221267.000000
639017.000000,4221297.000000
639017.000000,4221327.000000
639017.000000,4221357.000000
639017.000000,4221387.000000
639017.000000,4221417.000000
639017.000000,4221447.000000
639017.000000,4221477.000000
639017.000000,4221507.000000
639017.000000,4221537.000000
639017.000000,4221567.000000
639017.000000,4221597.000000
639017.000000,4221627.000000
639017.000000,4221657.000000
639017.000000,4221687.000000
639017.000000,4221717.000000
639017.000000,4221747.000000
639047.000000,4221777.000000
639077.000000,4221807.000000
639107.000000,4221807.000000
639137.000000,4221807.000000
639167.000000,4221807.000000
639197.000000,4221807.000000
639227.000000,4221807.000000
639257.000000,4221807.000000
639287.000000,4221807.000000
639317.000000,4221807.000000
639347.000000,4221807.000000
639377.000000,4221807.000000
639407.000000,4221807.000000
639437.000000,4221807.000000
639467.000000,4221807.000000
639497.000000,4221807.000000
639527.000000,4221807.000000
639557.000000,4221807.000000
639587.000000,4221807.000000
639617.000000,4221807.000000
639647.000000,4221807.000000
639677.000000,4221807.000000
639707.000000,4221807.000000
639737.000000,4221807.000000
639767.000000,4221837.000000
639797.000000,4221837.000000
639827.000000,4221867.000000
639857.000000,4221897.000000
639887.000000,4221927.000000
639917.000000,4221957.000000
639947.000000,4221987.000000
639977.000000,4222017.000000
640007.000000,4222047.000000
640037.000000,4222077.000000
640067.000000,4222107.000000
640097.000000,4222137.000000
640127.000000,4222167.000000
640157.000000,4222197.000000
640187.000000,4222227.000000
640217.000000,4222257.000000
640247.000000,4222287.000000
640277.000000,4222317.000000
640307.000000,4222347.000000
640337.000000,4222377.000000
640367.000000,4222407.000000
640397.000000,4222437.000000
640427.000000,4222467.000000
640457.000000,4222497.000000
640487.000000,4222527.000000
640517.000000,4222557.000000
640547.000000,4222587.000000
640577.000000,4222617.000000
640607.000000,4222647.000000
640607.000000,4222677.000000
640637.000000,4222707.000000
640637.000000,4222737.000000
640667.000000,4222767.000000
640697.000000,4222797.000000
640727.000000,4222827.000000
640757.000000,4222827.000000
640787.000000,4222857.000000
640817.000000,4222857.000000
640847.000000,4222887.000000
640877.000000,4222887.000000
640907.000000,4222917.000000
640937.000000,4222917.000000
640967.000000,4222917.000000
640997.000000,4222947.000000
641027.000000,4222947.000000
641057.000000,4222977.000000
641087.000000,4222977.000000
641117.000000,4223007.000000
641147.000000,4223037.000000
641177.000000,4223037.000000
641207.000000,4223067.000000
641237.000000,4223067.000000
641267.000000,4223097.000000
641297.000000,4223097.000000
641327.000000,4223127.000000
641357.000000,4223127.000000
641387.000000,4223127.000000
641417.000000,4223127.000000
641447.000000,4223127.000000
641477.000000,4223157.000000
641507.000000,4223157.000000
641537.000000,4223157.000000
641567.000000,4223187.000000
641597.000000,4223187.000000
641627.000000,4223187.000000
641657.000000,4223187.000000
641687.000000,4223217.000000
641717.000000,4223217.000000
641747.000000,4223217.000000
641777.000000,4223217.000000
641807.000000,4223217.000000
641837.000000,4223217.000000
641867.000000,4223217.000000
641897.000000,4223247.000000
641927.000000,4223247.000000
641957.000000,4223277.000000
641987.000000,4223307.000000
642017.000000,4223337.000000
642047.000000,4223367.000000
642077.000000,4223397.000000
642107.000000,4223427.000000
642137.000000,4223457.000000
642167.000000,4223487.000000
642197.000000,4223517.000000
642227.000000,4223547.000000
642257.000000,4223577.000000
642287.000000,4223607.000000
642317.000000,4223637.000000
642347.000000,4223667.000000
642377.000000,4223697.000000
642407.000000,4223727.000000
642437.000000,4223757.000000
642467.000000,4223787.000000
642497.000000,4223817.000000
642527.000000,4223847.000000
642557.000000,4223877.000000
642587.000000,4223907.000000
642617.000000,4223937.000000
642647.000000,4223967.000000
642677.000000,4223967.000000
